Filename,Generated,HAcceptor,HDonor,Lipinski,Lipinski_violation_rule1,Lipinski_violation_rule2,Lipinski_violation_rule3,Lipinski_violation_rule4,Lipinski_violation_rule5,Lipinski_violation_rule6,LogP,Method,QED,QVinaScoreG2019S7LI3,QVinaScoreG2019S8TZC,QVinaScorewild_type8TXZ,RotatableBonds,SA,Smile,TPSA,Weight,FilenameCount,BBBprob
G2019S_8TZC_size34_2_156_out.sdf,True,7.0,0.0,6.0,True,True,True,True,True,True,2.6870900000000004,optimized100,0.3046708656265207,-9.0,-12.6,-10.2,4.0,0.3,[O]C(=O)C1=[C][C]=c2c([c]c3nsc4[c]c(Oc5[c][c]c6[c]c([N+](=O)[O-])n[c]c6[c]5)[c]c2c34)[C]=[C]1,115.12,453.9558661,3,0.10503044
G2019S_8TZC_size34_2_6_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,0.4017900000000001,optimized100,0.5892461191390856,-9.4,-12.5,-11.0,3.0,0.29,[O]C(=O)C1=[C][C]=c2c([c]c3c4c([c]c(Oc5[c]nc6c([c]5)[C][C]N(C([O])=O)[C]6)[c]c24)[N]N=3)[C]=[C]1,125.76,435.9868691,3,0.18430717
G2019S_8TZC_size34_2_4_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.5299600000000004,optimized100,0.4392013097641485,-9.2,-12.5,-12.3,4.0,0.28,[O]C(=O)c1[c][c]c2[c]c3nnc4c3c(c2[c][c]1)[C]C([C]c1[c][c]c2[c]c(C([O])=O)[c][c]c2[c]1)=[C]4,99.72,427.98580648,6,0.11329957
G2019S_8TZC_size34_2_170_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,0.8215499999999997,optimized100,0.709856301207615,-9.1,-12.5,-10.0,3.0,0.25,[O]C(=O)C1=[C][C]=C2C(=[C]N3[C]=[C]N4[C]C([N]c5[c][c]c6c([c]5)[C][C]C(=O)C([O])=[C]6)=[C]C2=C43)[C]=[C]1,94.52,429.98888048,3,0.094668046
G2019S_8TZC_size28_77_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,1.8185200000000008,optimized100,0.8323196087080246,-8.9,-12.5,-9.3,2.0,0.24,[C][C]1[C]2[C][C]c3[c]c([O])[c][c]c3[C]2[C]c2c([C]N3[C][C]C(=O)[C][C]3)[c][c][c]c21,40.21,345.99290324,3,0.35465908
G2019S_8TZC_size27_2_94_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,0.3437799999999998,optimized100,0.6406964895362203,-8.8,-12.5,-10.9,1.0,0.27,O=C1[C]=[C]C2=C([C]=c3c([c][c]c4[c]c(F)[c][c]c34)=C(c3[c][c][c][c][c]3)O2)[N]1,40.400000000000006,340.99130646000003,3,0.18490353
G2019S_8TZC_size34_2_15_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.4007300000000005,optimized100,0.6431912130109146,-9.8,-12.4,-11.3,3.0,0.23,[C]C(=O)N1[C][C]c2[c]c(Oc3[c]c4c5c([c]c6c(c5[c]3)=[C][C]=C([C]3[C][C]3)[C]=[C]6)=N[C]4)[c][c]c2[C]1,41.9,419.99597724,6,0.7794819
G2019S_8TZC_size34_2_76_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.27836,optimized100,0.431909201332277,-9.3,-12.4,-11.5,4.0,0.26,[O]C(=O)C1=[C][C]=c2c([c]n3[c]nc4[c]c([C]c5[c][c]c6[c]c(C([O])=O)[c][c]c6[c]5)[c]c2c43)[C]=[C]1,91.24,427.98580648,3,
G2019S_8TZC_size34_2_182_out.sdf,True,6.0,0.0,6.0,True,True,True,True,True,True,1.84845,optimized100,0.639271758237063,-9.2,-12.4,-10.0,2.0,0.23,[C]N1[C]c2[c][c]c(OC3=Nc4[c][c]n5c4[C]([C]3)C3=[C][C]=C(C([O])=O)[C]=[C][C]3[C]5)[c]c2O[P@@]1([O])=O,112.92999999999998,456.95247135,3,0.2157129
G2019S_8TZC_size27_2_167_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,1.66886,optimized100,0.7954488543235374,-9.1,-12.4,-8.7,1.0,0.25,[O]c1[c][c]c2c([c]1)[C]=[C]C1=C(c3[c][c][c][c][c]3)[C]=C3[C]=[C]C(=O)[N]C3=[C]N12,54.31,335.99597724,3,0.25215277
G2019S_8TZC_size34_152_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,4.288430000000002,optimized100,0.3175266482876022,-8.9,-12.4,-12.2,3.0,0.28,[O]c1[c][c][c]c(-c2c3[c]oc4c(/N=N/[C]5[C][C][C]OC5=O)[c]c5c6c([c][c]c2c6=c34)[C][C]=[C]5)[c]1,84.06,427.98580648,3,0.2234358
G2019S_7LI3_size30_215_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,1.7194400000000007,optimized50,0.7089487533797217,-8.9,-12.4,-10.1,1.0,0.36,[C][C]1[N]c2c3c4c(c5c(F)[c][c][c]c25)[C][C]([C]2[C][C]2)C(=O)N4C(=O)[C]2[C][C][C][C]2[C]13,51.48,378.99438046,3,0.48672116
G2019S_7LI3_size31_90_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.9346800000000008,optimized50,0.4735408531810218,-10.0,-12.3,-10.8,2.0,0.36,[O][C]1[C][C][C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c([O])[c]c23)[C]([O])[C]1,129.54,402.9903577,3,0.11440823
G2019S_7LI3_size31_124_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,1.5271700000000004,optimized50,0.4785086495811441,-9.9,-12.3,-10.4,2.0,0.33,[C]c1[c][c]c2nnc3c([N]C(=O)[C]4[C][C][C]([O])[C]N4[C])nc4[c][c]c(F)[c]c4c3c2[c]1,92.98,397.00360246,3,0.32338125
G2019S_8TZC_size32_3_46_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,4.385920000000001,optimized100,0.3741509250786921,-9.9,-12.3,-8.5,1.0,0.27,[C]c1[c][c]c(Cl)c2c1nc1c3[c][c][c][c]c3c3[c]n4c([c]c3c12)[C][C]([C]1[C][C][C][C]1)[C][C]4,17.82,410.97500068,3,0.39901432
G2019S_8TZC_size34_2_140_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,0.8948400000000011,optimized100,0.629574229300542,-9.4,-12.3,-10.7,3.0,0.24,[C]C(=O)[N]c1[c][c]c2c([c]1)=[C]C1=[C][C]=[C]C3=[C]C(c4[c][c]c5[c]c(C([O])=O)[c][c]c5[c]4)=[C]C=2[C]13,68.14,421.98781786,3,0.048917763
G2019S_7LI3_size30_188_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,-0.9105200000000002,optimized50,0.6189366159153847,-9.2,-12.3,-9.8,2.0,0.36,[C]O[C]C1=[C]C2=c3c(F)[c][c][c]c3=C3N=C([C])C4=C3[C]2N(C(=O)[C]2[C][C]=[C]N24)C1=O,62.21000000000001,384.99236908,3,0.2835323
G2019S_8TZC_size28_157_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.9088500000000015,optimized100,0.666263488007322,-8.4,-12.3,-10.1,2.0,0.27,[C][C]1[C]([C]c2[c][c][c]c3c([C])c4[c][c]c5c(c4nc23)[C][C]C([N])=[C]5)O[C]N1[C],47.66,346.00413662,3,0.6281418
G2019S_8TZC_size28_53_out.sdf,True,0.0,0.0,6.0,True,True,True,True,True,True,4.41485,optimized100,0.7458014130200512,-8.3,-12.3,-9.2,2.0,0.27,[C]C1=[C][C]=C(F)C([C]2[C][C]c3c([C])[c][c]c(-c4[c][c][c]c([O])c4Cl)c3[C]2)=[C][C]1,19.9,369.96217052,3,0.07500674
G2019S_8TZC_size28_174_out.sdf,True,1.0,0.0,6.0,True,True,True,True,True,True,3.8325500000000017,optimized100,0.6375041419083056,-8.7,-12.2,-10.6,1.0,0.3,[O]c1[c][c]c([C]2[C][C][C][C]3[C]2[C]c2c([c][c]c4[c]c(F)[c][c]c24)C3=O)[c]c1Cl,36.97,373.95708514,3,0.1369281
G2019S_8TZC_size28_166_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.8517900000000007,optimized100,0.7830964949459656,-8.3,-12.2,-10.3,1.0,0.33,[O]C1=[C][C]C(c2[c][c][c]c3c([O])c4c(nc23)C2=[C][C]C(=O)[C]=C2[C][C]4)=[C]C1=O,86.83000000000001,353.98273248,3,0.045116156
G2019S_8TZC_size25_3_203_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,1.45668,optimized100,0.7735899474718747,-8.0,-12.2,-9.9,1.0,0.29,[C]N([C])C(=O)[N]C1=[C]c2c([c][c]c3c2C2=[C][C]=[C][C]C2=N3)[C]([O])[C][C]1,66.67,313.99905124,3,0.26918077
G2019S_7LI3_size34_8_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,1.8805100000000008,optimized50,0.6844919635822901,-10.4,-12.1,-12.2,2.0,0.27,[C]1[C]C2=C3[C]=C4[C]5[C]6OC65[C]=[C][C]C4=C4[C]=[C][C]=C([C]43)n3[c]nc(c32)/C(=N\[C][C]2[C][C]O[C]2)[C]1,51.94,421.99905124,6,0.39098644
G2019S_7LI3_size31_92_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.282570000000001,optimized50,0.4692801734088022,-10.3,-12.1,-9.9,2.0,0.35,[C][C]1[C][C]([C])[C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)[C][N]1,83.94,415.9775405200001,3,0.20434023
G2019S_8TZC_size32_3_50_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,2.4301600000000003,optimized100,0.456736734479996,-9.9,-12.1,-8.5,0.0,0.29,[C]c1[c][c]c([O])c2[c]n3c4[c][c]n[c]c4c4c(c3c12)[C][C]1[C][C@@]2([C][C]C1=[C]4)[C]C(=O)N=[C]2,66.63,397.99905124,3,0.079161786
G2019S_8TZC_size34_153_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.383570000000001,optimized100,0.3186478017219527,-9.7,-12.1,-12.7,2.0,0.27,[O][C@@]12[N][C][C][C]1[C]2[C]=C=C1[C]c2nc(-c3[c][c][c]c(F)[c]3)c3[c][c]c4nnnc5[c]c1c2c3c45,85.56,429.00868784,3,0.20682292
G2019S_7LI3_size31_106_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.448980000000001,optimized50,0.4617149369885348,-9.5,-12.1,-10.1,2.0,0.36,[O][C]1[C][C][C](C(=O)[N]c2nc3[c][c]c([O])[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)[C]([O])[C]1,129.54,418.96080716,3,0.19315232
G2019S_8TZC_size34_2_13_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,2.579750000000001,optimized100,0.6041518874074374,-9.2,-12.1,-11.0,3.0,0.25,[O]C(=O)N1[C]=[C][C]2[C]=C([C]C3=Nc4[c]nc5[c]c6[c][c]c(N7[C][C]7)[c][c]c6c(c45)[C]3)[C]=NC2=[C]1,80.83,426.00519924,6,0.21420372
G2019S_8TZC_size32_133_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,1.33861,optimized100,0.7454894332093808,-9.2,-12.1,-9.5,2.0,0.3,[O][C][C]1[C][C](c2[c]c3c4c5c2[C][C][C][C]5[C][N]C(=O)[C][C]4[C]2[C]=[C][C]=[C][C]23)C(=O)C(F)=[C]1,68.14,404.98622108,3,0.0061316723
G2019S_8TZC_size34_2_80_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.46476,optimized100,0.6695412289333194,-9.1,-12.1,-10.0,4.0,0.28,[C]=C([O])c1[c][c]c2c([c]1)[C][C]C(OC1=[C][C]3C4=[C][C]=C(C([O])=O)[C]=[C]C4=NC([N])=C3C([O])=[C]1)=[C]2,120.66,431.9807211,3,0.085034356
G2019S_8TZC_size32_3_221_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,1.3073900000000007,optimized100,0.6094998295589282,-8.9,-12.1,-11.9,3.0,0.35,[O]C(=O)[C][C][C]1[C][C]=C2C(=O)c3c(c4c(c5nc6[c]n[c][c]c6[c]c35)[C]=NC4=O)[C]=C2[C]1,109.25,405.9888804799999,3,0.12033382
G2019S_8TZC_size32_3_123_out.sdf,True,1.0,0.0,6.0,True,True,True,True,True,True,1.18264,optimized100,0.6728072969440098,-8.9,-12.1,-11.0,1.0,0.28,[N][C]1[N]C2=C([C]=c3[c]c4c([c]c3[C]=[C]2)=c2[c][c][c][c]c2=C([C]2[C]=C(F)[C][C](F)[C]2[O])[N]4)S1,70.4,427.97301406,3,0.11162512
G2019S_8TZC_size34_2_7_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,1.522940000000001,optimized100,0.7246784789669933,-8.9,-12.1,-9.5,4.0,0.27,[C]C(=O)C1=[C][C]=C2[C]3[C]=C([C]N4[C][C]c5[c]c(C([O])=O)[c][c]c5[C]4)[C]=C([O])C3=C([O])[C]=C2[C]=[C]1,97.08,429.9776471,3,0.1479355
G2019S_8TZC_size32_95_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,4.5643600000000015,optimized100,0.4118028970446593,-8.8,-12.1,-10.0,3.0,0.28,[C]Oc1[c]c(F)c([O])c(-c2[c]c3c4[c][c][c][c]c4[c]c4c3c3c([c][c][c]c23)O[C]4[C][O])[c]1,58.26,406.9780617,3,0.23443666
G2019S_8TZC_size32_3_70_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,2.7025300000000008,optimized100,0.6114357712518546,-8.7,-12.1,-9.1,3.0,0.26,[C][S@@](=O)[C][C][C]1[C]c2c([c]c3c4c(c5[c]c(F)[c][c]c5nc24)C(=O)[C]2[C][C][C][C][C]23)[C]=[C]1,47.03,420.96337746,3,0.9932433
G2019S_7LI3_size31_98_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,1.6890900000000009,optimized50,0.4592612165116319,-10.3,-12.0,-10.7,2.0,0.37,[C][C]1[C]C(=O)[C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)[C][N]1,101.01,419.97245514,3,0.24632128
G2019S_7LI3_size31_120_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.4507900000000005,optimized50,0.4727785405251407,-10.2,-12.0,-11.2,2.0,0.38,[O]c1[c][c]c2nnc3c([N]C(=O)[C]4[N][C][C](F)[C][C]4F)nc4[c][c]c(F)[c]c4c3c2[c]1,103.84,411.0004089,3,0.23149666
G2019S_8TZC_size32_3_10_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,3.215770000000001,optimized100,0.3352072295375657,-10.0,-12.0,-10.9,3.0,0.27,[C]n1n[c]c2c(F)c3c4[c]c5[c]c([N][C]C([O])=O)[c][c]c5[c]c4c4[c][c][c][c]c4c3[c]c21,68.89,404.99745446,6,0.05661556
G2019S_7LI3_size31_97_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.4442800000000013,optimized50,0.4619303101665654,-9.9,-12.0,-10.4,2.0,0.37,[O][C]1[C][C][C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)[C]([O])[C]1,109.64,421.96429576,3,0.15806524
G2019S_7LI3_size31_101_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.711990000000001,optimized50,0.6022228485564324,-9.8,-12.0,-11.0,2.0,0.37,[C][C]1[C][C](F)[C](C(=O)[N]c2nc3[c][c]c([O])[c]c3c3c4c(nnc23)[N][C]=C(F)[C]4)[C][N]1,117.94,406.0050796800001,3,0.09730863
G2019S_7LI3_size31_102_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,2.044290000000001,optimized50,0.456904409041023,-9.8,-12.0,-10.6,2.0,0.37,[O][C]1[C][C][C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)N([O])[C]1,112.88,423.96736976,3,0.18306859
G2019S_7LI3_size30_218_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,-0.8346400000000002,optimized50,0.6720175562251881,-9.6,-12.0,-9.7,2.0,0.35,[C][C][C]N1[C]C2=c3c(F)[c][c][c]c3=C3N=C([C])C4=C3[C]2[C](C(=O)[C]2[C][C]=[C]N24)C1=O,52.98,380.99745446,3,0.41902733
G2019S_8TZC_size37_3_71_out.sdf,True,1.0,0.0,6.0,True,True,True,True,True,True,2.942600000000002,optimized100,0.693794270176506,-9.2,-12.0,-5.8,3.0,0.23,[C]c1[c][c][c]c(C2=C3[C][C][C]4[C]([C][O])[C][C]([C]=[C])O[C]4[C]4[C]5[C][C][C][C][C][C@]67[C][C]6[C]([C]=[C]2)[C]([C]43)[C]57)[c]1,29.13,451.98982924,3,0.5195999
G2019S_7LI3_size32_96_out.sdf,True,6.0,0.0,6.0,True,True,True,True,True,True,2.1966900000000007,optimized50,0.392004049403727,-9.1,-12.0,-11.2,1.0,0.31,[C]n1n[c]c2c([O])c3c4[c]c5c([c]c4c4[c][c]nnc4c3[c]c21)[C]1[C]([N]C([O])=O)[C]1O[C]5,123.79999999999998,409.99502848,3,0.16758917
G2019S_8TZC_size34_2_5_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,0.91824,optimized100,0.6523498687795928,-9.0,-12.0,-11.4,5.0,0.29,[C]N([C]=O)c1[c][c]c2c([c]1)N=C1[N][C]=[C]C3=C([C][C]4[C][C][C]5[C]=C(C([O])=O)[C][C]C5=[C]4)N=C2[C]13,96.1,427.99703986,6,0.093351394
G2019S_7LI3_size30_211_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,0.8077700000000004,optimized50,0.5618799205103533,-9.0,-12.0,-9.4,2.0,0.38,[C][C]1[N]c2c3c4c(c5c(F)[c][c][c]c25)[C][C]([C][N][O])C(=O)N4C(=O)[C]2O[C][C][C]2[C]13,94.71,388.9872837,3,0.21553363
G2019S_7LI3_size37_162_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,0.7085399999999998,optimized50,0.5778670223872381,-8.3,-12.0,-7.7,1.0,0.18,[C]C1([C])[C][C]2[N][C]C3=[C][C][C](c4[c][c]nc([N])[c]4)[C]4[C][C]5[C][C]([O])[C][C@@]6([C][N]6)[C][C](O5)[C]5[C]([C]1)[C]2[C]3[C]45,92.52,460.00212524,3,0.39256412
G2019S_8TZC_size28_122_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.5897500000000009,optimized100,0.8053624503496262,-7.9,-12.0,-10.8,2.0,0.33,[C]c1nn([C][C]2[C]=[C]C(=O)[C]=[C]2)c2c1C(=O)[C]1[C][C]c3[c]c(Cl)[c][c]c3[C]1[C]2,51.96,370.96482992,3,0.2690095
G2019S_7LI3_size31_103_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.187090000000002,optimized50,0.452214205230486,-10.2,-11.9,-9.9,1.0,0.32,[O][C]1[C][C]N(C(=O)[N]c2nc3[c][c]c([O])[c]c3c3c2n[c]c2[c][c]c([O])[c]c23)C(=O)[C]1,136.96,399.9868691,3,0.13744605
G2019S_7LI3_size31_86_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,1.6168600000000006,optimized50,0.7236282968484054,-10.0,-11.9,-11.6,1.0,0.33,[C][C]1[C][C]([O])[C][C][C]1C(=O)[N]C1=Nc2[c][c]c(F)[c]c2[C]2C1=NOc1[c][c]c(F)[c]c12,85.02000000000001,403.9907723,3,0.1540003
G2019S_7LI3_size31_112_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.4442800000000013,optimized50,0.4619303101665654,-10.0,-11.9,-10.8,2.0,0.37,[O][C]1[C][C][C](C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c2nnc2[c][c]c(Cl)[c]c23)[C]([O])[C]1,109.64,421.96429576,3,0.15806524
G2019S_8TZC_size31_3_150_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,2.3690300000000013,optimized100,0.6302398033619105,-9.8,-11.9,-11.4,2.0,0.26,[C]N1[C][C][C](C(=O)[N]c2[c]c3[c][c]c(F)[c]c3c3c4c([c][c]c23)[C]=[C][C]=[C][C]4)[C]([O])[C]1,54.31,390.99438046,3,0.25515014
G2019S_8TZC_size31_3_1_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,3.2011600000000016,optimized100,0.3891909784034463,-9.7,-11.9,-10.9,2.0,0.28,[C]c1[c][c]c(C(=O)[N]c2nc3[c][c]c(F)[c]c3c3c4c([c][c]c23)[C][C][C][C][C]4)c([O])[c]1,63.96,390.99438046,6,0.12347803
G2019S_8TZC_size34_72_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,3.170860000000002,optimized100,0.3976789024935094,-9.7,-11.9,-8.7,4.0,0.33,[C]c1[c][c][c]c2[c][c]c3c(C4=NC(=O)[C][C]=[C]4)nc4sc([N][C]c5[c][c][c][c]c5F)nc4c3c12,69.31,446.97768484,3,0.3258742
G2019S_8TZC_size31_3_125_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,3.372590000000001,optimized100,0.426532677303307,-9.5,-11.9,-9.9,2.0,0.32,[C]c1[c][c]c2nc([N]C(=O)c3[c][c]c(F)[c]c3F)c3n[c]c4[c][c]c([O])[c]c4c3c2[c]1,76.85,399.99585768,3,0.15092546
G2019S_8TZC_size34_164_out.sdf,True,2.0,0.0,6.0,True,True,True,True,True,True,3.888820000000001,optimized100,0.4778522399743432,-9.3,-11.9,-11.7,4.0,0.26,[O]c1[c][c][c]c(-c2[c]c3[c]c([C][C]c4[c][c][c][c]c4F)c4n3c3c2[C]=[C]C2=[C][C]=[C]C(=N4)[C]23)[c]1,36.67,422.99946584,3,0.11052093
G2019S_7LI3_size37_160_out.sdf,True,4.0,0.0,6.0,True,True,True,True,True,True,2.514500000000001,optimized50,0.5525119420875733,-9.2,-11.9,-8.4,2.0,0.38,[C][C][C]1[C]C(=O)[C]2O[C]2[C]C2=C(c3[c][c][c]c([N])[c]3)[C]=[C]c3[c][c]c4c5c(c(n2c35)[C]O1)[C]C([C])([C])[C]4,66.06,459.99089186,3,0.7451422
G2019S_7LI3_size37_96_out.sdf,True,5.0,0.0,6.0,True,True,True,True,True,True,1.8871100000000005,optimized50,0.5560481123563994,-9.1,-11.9,-5.6,2.0,0.29,[C]C1([C])[C]c2[c][c]c3c4c5n(c(c24)[C]1)[C]1[C]N([C]=O)[C]C(=O)[C]2[C](O[C]5[C](c4[c]n[c]c(Cl)[c]4)[C][C]3)[C]21,64.43,484.96281854,3,0.7951454
G2019S_8TZC_size32_3_53_out.sdf,True,3.0,0.0,6.0,True,True,True,True,True,True,2.3018500000000013,optimized100,0.6987607709327409,-8.9,-11.9,-10.5,2.0,0.26,[O][C]1[C]N1[C]c1[c][c]c2c([c]1)C1=C3[C]([C]2)c2[c][c][c][c]c2C(=O)N3C2=[C]C(Cl)=[C][C]C2=N1,55.58,420.96790392,3,0.26639563
G2019S_7LI3_size37_25_out.sdf,True,1.0,0.0,6.0,True,True,True,True,True,True,2.638690000000001,optimized50,0.670138981127647,-8.9,-11.9,-9.8,2.0,0.26,[C][C]N1[C][C]([O])[C][C]2[C][C]([C]1)[C]1[C]3[C]C([C])([C])[C][C]4[C][C][C]5[C]=[C][C](c6[c][c][c]c(F)[c]6)[C]([C]2)[C]1[C]5[C]43,23.14,456.99639184,3,0.20372313
